"","positive","score"
"1","abbagl",1
"2","abbell",1
"3","abbond",1
"4","abbracc",1
"5","abbriv",1
"6","abil",1
"7","accarezz",1
"8","accattiv",1
"9","access",1
"10","acclam",1
"11","accoglient",1
"12","accolt",1
"13","accomod",1
"14","accur",1
"15","acquis",1
"16","acut",1
"17","acutezz",1
"18","adatt",1
"19","addolc",1
"20","adegu",1
"21","ademp",1
"22","ader",1
"23","ador",1
"24","adul",1
"25","aerodinam",1
"26","affabil",1
"27","affar",1
"28","affascin",1
"29","afferm",1
"30","affett",1
"31","affettu",1
"32","affiat",1
"33","affid",1
"34","affin",1
"35","affluent",1
"36","affluenz",1
"37","aggiorn",1
"38","agil",1
"39","ahah",1
"40","aiut",1
"41","alba",1
"42","alla-mod",1
"43","allegr",1
"44","allett",1
"45","allev",1
"46","alliet",1
"47","alta-qualit",1
"48","altruist",1
"49","amabil",1
"50","amant",1
"51","amat",1
"52","amator",1
"53","ambiz",1
"54","amen",1
"55","amichevol",1
"56","amiciz",1
"57","amic",1
"58","ammir",1
"59","ammirevol",1
"60","ammiss",1
"61","amo",1
"62","amor",1
"63","amorevol",1
"64","ampi",1
"65","angel",1
"66","anim",1
"67","apert",1
"68","apertur",1
"69","apot",1
"70","appassionat",1
"71","appassion",1
"72","applaud",1
"73","apprezz",1
"74","apprezzabile?",1
"75","approv",1
"76","ardent",1
"77","ardor",1
"78","armon",1
"79","armonizz",1
"80","arricc",1
"81","arzill",1
"82","aspir",1
"83","assapor",1
"84","assicur",1
"85","astut",1
"86","attendibil",1
"87","attraent",1
"88","attrazion",1
"89","audac",1
"90","augur",1
"91","autent",1
"92","autocompiac",1
"93","autodetermin",1
"94","autonom",1
"95","autorevol",1
"96","autorizz",1
"97","autosufficient",1
"98","avanzato?",1
"99","avvenent",1
"100","avventur",1
"101","avvincent",1
"102","b-day",1
"103","baglior",1
"104","bass-prezz",1
"105","bass-risc",1
"106","beat",1
"107","beatitudin",1
"108","bell'aspett",1
"109","bellezz",1
"110","bell",1
"111","mitic",1
"112","ben-accolt",1
"113","ben-colleg",1
"114","ben-consider",1
"115","ben-educ",1
"116","ben-educato?",1
"117","ben-fatt",1
"118","ben-gest",1
"119","ben-inform",1
"120","Ben-istru",1
"121","ben-posizion",1
"122","Ben-retroillumin",1
"123","ben",1
"124","bened",1
"125","benedizion",1
"126","beneduc",1
"127","benefattor",1
"128","benef",1
"129","benefici?",1
"130","beneficiar",1
"131","beness",1
