,word,counts
27,rispost,2
4,fiduc,2
62,social,2
33,posit,2
0,buongiorn,1
58,giovan,1
65,rivolg,1
64,rispett,1
63,grand,1
61,coesion,1
60,rafforz,1
59,gener,1
57,futur,1
67,parl,1
56,attent,1
55,sguard,1
54,molt,1
53,far,1
52,l'opportun,1
51,europe,1
50,dell'union,1
49,straordinar,1
66,innanzitutt,1
68,espression,1
47,disposizion,1
69,volont,1
88,buon,1
87,consult,1
86,termin,1
85,al,1
84,riserv,1
83,sciogl,1
82,respons,1
81,dar,1
80,capac,1
79,essa,1
78,unit,1
77,emerg,1
76,forz,1
75,dialog,1
74,parlamentar,1
73,grupp,1
72,part,1
71,confront,1
70,popol,1
48,risors,1
45,paes,1
46,sfid,1
12,moment,1
20,vit,1
19,effett,1
18,grav,1
17,sanitar,1
16,cris,1
15,drammat,1
14,ricord,1
13,difficil,1
11,govern,1
22,sull'econom,1
10,nuov,1
9,formazion,1
8,incar,1
7,confer,1
6,accord,1
5,vol,1
3,repubbl,1
2,president,1
21,person,1
23,societ,1
1,ringraz,1
36,pandem,1
44,rilanc,1
43,cittadin,1
42,quotidian,1
41,problem,1
40,offrir,1
39,vaccinal,1
38,campagn,1
37,complet,1
35,vinc,1
24,consapevolezz,1
34,all'appell,1
32,rispond,1
31,impegn,1
30,speranz,1
29,situazion,1
28,all'altezz,1
26,richied,1
25,emergt,1
89,giorn,1
