,word,counts
2,presidente,4
3,repubblica,3
0,buongiorno,2
45,paese,2
34,all'appello,2
27,risposte,2
53,fare,1
63,grande,1
69,volontà,1
68,espressione,1
67,parlamento,1
66,innanzitutto,1
65,rivolgerò,1
64,rispetto,1
52,l'opportunità,1
62,sociale,1
54,molto,1
61,coesione,1
60,rafforzamento,1
70,popolare,1
58,giovani,1
57,futuro,1
56,attento,1
55,sguardo,1
59,generazioni,1
72,confronto,1
71,fiducioso,1
83,dare,1
92,buona,1
91,consultazioni,1
90,termine,1
89,al,1
88,riserva,1
87,scioglierò,1
86,positiva,1
85,responsabile,1
84,risposta,1
82,capacità,1
50,dell'unione,1
81,essa,1
80,unità,1
79,emerga,1
78,sociali,1
77,forze,1
76,dialogo,1
75,parlamentari,1
74,gruppi,1
73,partiti,1
51,europea,1
47,disposizione,1
49,straordinarie,1
48,risorse,1
22,sull'economia,1
21,persone,1
20,vita,1
19,effetti,1
18,gravi,1
17,sanitaria,1
16,crisi,1
15,drammatica,1
14,ricordato,1
13,difficile,1
12,momento,1
11,governo,1
10,nuovo,1
9,formazione,1
8,incarico,1
7,conferendo,1
6,accordare,1
5,voluto,1
4,fiducia,1
23,società,1
24,consapevolezza,1
25,emergenze,1
38,campagna,1
1,ringrazio,1
46,sfide,1
44,rilanciare,1
43,cittadini,1
42,quotidiani,1
41,problemi,1
40,offrire,1
39,vaccinale,1
37,completare,1
26,richiede,1
36,pandemia,1
35,vincere,1
33,positivamente,1
32,rispondono,1
31,impegno,1
30,speranza,1
29,situazione,1
28,all'altezza,1
93,giornata,1
